509,"Spring 2012",3,5,"Wednesday","Second"," Clarinet (private)","Morgan",4,36,2,20120404,20120530,1,"http://sfschool.org/drupal/node/22","4th Grade Room",0,0,0,
510,"Spring 2012",6,8,"Wednesday","First","Futsal","Staff",0,0,0,20120404,20120530,1,"http://sfschool.org/drupal/node/455","Green Top",0,0,1,
511,"Spring 2012",6,8,"Wednesday","First","Junior Counselor Preschool","Staff",0,0,1,20120404,20120530,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
512,"Spring 2012",6,8,"Wednesday","First","SMART","Staff",0,0,0,20120404,20120530,1,"http://sfschool.org/drupal/node/72","Green Top",0,0,1,
513,"Spring 2012",4,8,"Thursday",,"Band","James",0,0,0,20120405,20120531,1,"http://sfschool.org/drupal/node/53","Music Room",0,0,1,
514,"Spring 2012",4,8,"Thursday","First","Homework","Staff",0,0,0,20120405,20120531,1,"http://sfschool.org/drupal/node/16","8th Grade Room",0,0,0,
515,"Spring 2012",1,8,"Thursday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120405,20120531,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
516,"Spring 2012",1,5,"Thursday","First","Quick Crafts","Ruth",0,0,10,20120405,20120531,1,"http://sfschool.org/drupal/node/83","Art Room",0,0,0,
517,"Spring 2012",4,8,"Thursday","First","Trumpet","John",4,36,2,20120405,20120531,1,"http://sfschool.org/drupal/node/26","Music Room",0,0,0,
518,"Spring 2012",4,8,"Thursday","Second","Trumpet","John",4,36,2,20120405,20120531,1,"http://sfschool.org/drupal/node/26","Music Room",0,0,0,
519,"Spring 2012",4,8,"Thursday","First","Saxophone","Joshi",4,36,2,20120405,20120531,1,"http://sfschool.org/drupal/node/52","5th Grade Classroom",0,0,0,
520,"Spring 2012",4,8,"Thursday","Second","Saxophone","Joshi",4,36,2,20120405,20120531,1,"http://sfschool.org/drupal/node/52","5th Grade Classroom",0,0,0,
521,"Spring 2012",1,5,"Thursday","First","Creative Kitchen, Too","Andy",1,9,10,20120405,20120531,1,"http://sfschool.org/drupal/node/59","Kitchen",0,0,0,
522,"Spring 2012",6,8,"Thursday","First","Junior Counselor Creative Kitchen","Andy",0,0,1,20120405,20120531,1,"http://sfschool.org/drupal/node/65","Kitchen",0,0,1,
523,"Spring 2012",6,8,"Thursday","First","Junior Counselor Preschool","Staff",0,0,1,20120405,20120531,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
524,"Spring 2012",6,8,"Thursday","First","Futsal","Staff",0,0,0,20120405,20120531,1,"http://sfschool.org/drupal/node/55","Green Top",0,0,1,
525,"Spring 2012",6,8,"Thursday","First","SMART","Staff",0,0,0,20120405,20120531,1,"http://sfschool.org/drupal/node/72","Green Top",0,0,1,
526,"Spring 2012",1,8,"Friday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120406,20120601,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
527,"Spring 2012",6,8,"Friday","First","Amnesty International","Solveig",0,0,0,20120406,20120601,1,"http://sfschool.org/drupal/node/8","6th Grade Room",0,0,1,
528,"Spring 2012",4,8,"Friday","First","Eco Crafts","Ruth",0,0,10,20120406,20120601,1,"http://sfschool.org/drupal/node/85","Art Room",0,0,0,
529,"Spring 2012",2,5,"Friday","First","Guitar/Elementary","Peter",3,27,4,20120406,20120601,1,"http://sfschool.org/drupal/node/25","Music Room",0,0,0,
530,"Spring 2012",2,5,"Friday","Second","Guitar/Elementary","Peter",3,27,4,20120406,20120601,1,"http://sfschool.org/drupal/node/25","Music Room",0,0,0,
531,"Spring 2012",6,8,"Friday","First","Junior Counselor Preschool","Staff",0,0,1,20120406,20120601,1,"http://sfschool.org/drupal/node/65","Preschool",0,0,1,
532,"Spring 2012",6,8,"Friday","First","SMART","Staff",0,0,0,20120406,20120601,1,"http://sfschool.org/drupal/72","Green Top",0,0,1,
